sample,absorbed_dose_gy,quality,tissue,time,genotype,study
CWRU004174_S1,0.0,control,Whole Organism,,Wild Type,OSD-658
CWRU004175_S2,0.0,control,Whole Organism,,Wild Type,OSD-658
CWRU004176_S3,0.0,control,Whole Organism,,Wild Type,OSD-658
CWRU004177_S4,40.0,heavy_ion,Whole Organism,,Wild Type,OSD-658
CWRU004178_S5,40.0,heavy_ion,Whole Organism,,Wild Type,OSD-658
CWRU004179_S6,40.0,heavy_ion,Whole Organism,,Wild Type,OSD-658
CWRU004180_S7,40.0,heavy_ion,Whole Organism,,Wild Type,OSD-658
CWRU004181_S8,0.0,control,Whole Organism,,Wild Type,OSD-658
CWRU004182_S9,0.0,control,Whole Organism,,Wild Type,OSD-658
CWRU004183_S10,0.0,control,Whole Organism,,Wild Type,OSD-658
CWRU004184_S11,80.0,heavy_ion,Whole Organism,,Wild Type,OSD-658
CWRU004185_S12,80.0,heavy_ion,Whole Organism,,Wild Type,OSD-658
CWRU004186_S13,80.0,heavy_ion,Whole Organism,,Wild Type,OSD-658
CWRU004187_S14,80.0,heavy_ion,Whole Organism,,Wild Type,OSD-658
GSM7623649,0.0,control,rosette,1,Col-0,OSD-782
GSM7623650,0.0,control,rosette,1,Col-0,OSD-782
GSM7623651,0.0,control,rosette,1,Col-0,OSD-782
GSM7623652,10.0,gamma,rosette,1,Col-0,OSD-782
GSM7623653,10.0,gamma,rosette,1,Col-0,OSD-782
GSM7623654,10.0,gamma,rosette,1,Col-0,OSD-782
GSM7623655,100.0,gamma,rosette,1,Col-0,OSD-782
GSM7623656,100.0,gamma,rosette,1,Col-0,OSD-782
GSM7623657,100.0,gamma,rosette,1,Col-0,OSD-782
GSM7623658,0.0,control,rosette,3,Col-0,OSD-782
GSM7623659,0.0,control,rosette,3,Col-0,OSD-782
GSM7623660,0.0,control,rosette,3,Col-0,OSD-782
GSM7623661,10.0,gamma,rosette,3,Col-0,OSD-782
GSM7623662,10.0,gamma,rosette,3,Col-0,OSD-782
GSM7623663,10.0,gamma,rosette,3,Col-0,OSD-782
GSM7623664,100.0,gamma,rosette,3,Col-0,OSD-782
GSM7623665,100.0,gamma,rosette,3,Col-0,OSD-782
GSM7623666,100.0,gamma,rosette,3,Col-0,OSD-782
GSM7623667,0.0,control,rosette,24,Col-0,OSD-782
GSM7623668,0.0,control,rosette,24,Col-0,OSD-782
GSM7623669,0.0,control,rosette,24,Col-0,OSD-782
GSM7623670,10.0,gamma,rosette,24,Col-0,OSD-782
GSM7623671,10.0,gamma,rosette,24,Col-0,OSD-782
GSM7623672,10.0,gamma,rosette,24,Col-0,OSD-782
GSM7623673,100.0,gamma,rosette,24,Col-0,OSD-782
GSM7623674,100.0,gamma,rosette,24,Col-0,OSD-782
GSM7623675,100.0,gamma,rosette,24,Col-0,OSD-782
GSM7623676,0.0,control,rosette,72,Col-0,OSD-782
GSM7623677,0.0,control,rosette,72,Col-0,OSD-782
GSM7623678,0.0,control,rosette,72,Col-0,OSD-782
GSM7623679,10.0,gamma,rosette,72,Col-0,OSD-782
GSM7623680,10.0,gamma,rosette,72,Col-0,OSD-782
GSM7623681,10.0,gamma,rosette,72,Col-0,OSD-782
GSM7623682,100.0,gamma,rosette,72,Col-0,OSD-782
GSM7623683,100.0,gamma,rosette,72,Col-0,OSD-782
GSM7623684,100.0,gamma,rosette,72,Col-0,OSD-782
GSM3072467,100.0,gamma,Seedlings,10,Wild Type,OSD-498
GSM3072468,100.0,gamma,Seedlings,10,Wild Type,OSD-498
GSM3072469,100.0,gamma,Seedlings,20,Wild Type,OSD-498
GSM3072470,100.0,gamma,Seedlings,20,Wild Type,OSD-498
GSM3072471,100.0,gamma,Seedlings,90,Wild Type,OSD-498
GSM3072472,100.0,gamma,Seedlings,90,Wild Type,OSD-498
GSM3072473,100.0,gamma,Seedlings,1440,Wild Type,OSD-498
GSM3072474,100.0,gamma,Seedlings,1440,Wild Type,OSD-498
GSM3072475,0.0,control,Seedlings,10,Wild Type,OSD-498
GSM3072476,0.0,control,Seedlings,10,Wild Type,OSD-498
GSM3072477,0.0,control,Seedlings,20,Wild Type,OSD-498
GSM3072478,0.0,control,Seedlings,20,Wild Type,OSD-498
GSM3072479,0.0,control,Seedlings,90,Wild Type,OSD-498
GSM3072480,0.0,control,Seedlings,90,Wild Type,OSD-498
GSM3072481,0.0,control,Seedlings,1440,Wild Type,OSD-498
GSM3072482,0.0,control,Seedlings,1440,Wild Type,OSD-498
GSM3072483,0.0,control,Seedlings,3,Wild Type,OSD-502
GSM3072484,100.0,gamma,Seedlings,3,Wild Type,OSD-502
GSM3072485,0.0,control,Seedlings,3,myb3r135,OSD-502
GSM3072486,100.0,gamma,Seedlings,3,myb3r135,OSD-502
GSM3072487,0.0,control,Seedlings,3,Wild Type,OSD-502
GSM3072488,100.0,gamma,Seedlings,3,Wild Type,OSD-502
GSM3072489,0.0,control,Seedlings,3,myb3r135,OSD-502
GSM3072490,100.0,gamma,Seedlings,3,myb3r135,OSD-502
GSM3082835,0.0,control,Seedlings,,Wild Type,OSD-508
GSM3082836,0.0,control,Seedlings,,Wild Type,OSD-508
GSM3082837,100.0,gamma,Seedlings,10,Wild Type,OSD-508
GSM3082838,100.0,gamma,Seedlings,10,Wild Type,OSD-508
GSM3082839,100.0,gamma,Seedlings,20,Wild Type,OSD-508
GSM3082840,100.0,gamma,Seedlings,20,Wild Type,OSD-508
GSM3082841,100.0,gamma,Seedlings,45,Wild Type,OSD-508
GSM3082842,100.0,gamma,Seedlings,45,Wild Type,OSD-508
GSM3082843,100.0,gamma,Seedlings,90,Wild Type,OSD-508
GSM3082844,100.0,gamma,Seedlings,90,Wild Type,OSD-508
GSM3082845,100.0,gamma,Seedlings,180,Wild Type,OSD-508
GSM3082846,100.0,gamma,Seedlings,180,Wild Type,OSD-508
GSM3082847,100.0,gamma,Seedlings,360,Wild Type,OSD-508
GSM3082848,100.0,gamma,Seedlings,360,Wild Type,OSD-508
GSM3082849,100.0,gamma,Seedlings,720,Wild Type,OSD-508
GSM3082850,100.0,gamma,Seedlings,720,Wild Type,OSD-508
GSM3082851,100.0,gamma,Seedlings,1440,Wild Type,OSD-508
GSM3082852,100.0,gamma,Seedlings,1440,Wild Type,OSD-508
GSM3082853,0.0,control,Seedlings,,sog1-1,OSD-508
GSM3082854,0.0,control,Seedlings,,sog1-1,OSD-508
GSM3082855,100.0,gamma,Seedlings,10,sog1-1,OSD-508
GSM3082856,100.0,gamma,Seedlings,10,sog1-1,OSD-508
GSM3082857,100.0,gamma,Seedlings,20,sog1-1,OSD-508
GSM3082858,100.0,gamma,Seedlings,20,sog1-1,OSD-508
GSM3082859,100.0,gamma,Seedlings,45,sog1-1,OSD-508
GSM3082860,100.0,gamma,Seedlings,45,sog1-1,OSD-508
GSM3082861,100.0,gamma,Seedlings,90,sog1-1,OSD-508
GSM3082862,100.0,gamma,Seedlings,90,sog1-1,OSD-508
GSM3082863,100.0,gamma,Seedlings,180,sog1-1,OSD-508
GSM3082864,100.0,gamma,Seedlings,180,sog1-1,OSD-508
GSM3082865,100.0,gamma,Seedlings,360,sog1-1,OSD-508
GSM3082866,100.0,gamma,Seedlings,360,sog1-1,OSD-508
GSM3082867,100.0,gamma,Seedlings,720,sog1-1,OSD-508
GSM3082868,100.0,gamma,Seedlings,720,sog1-1,OSD-508
GSM3082869,100.0,gamma,Seedlings,1440,sog1-1,OSD-508
GSM3082870,100.0,gamma,Seedlings,1440,sog1-1,OSD-508
GSM3072302,100.0,gamma,Seedlings,20,Wild Type,OSD-510
GSM3072303,100.0,gamma,Seedlings,20,Wild Type,OSD-510
GSM3072304,100.0,gamma,Seedlings,90,Wild Type,OSD-510
GSM3072305,100.0,gamma,Seedlings,90,Wild Type,OSD-510
GSM3072306,100.0,gamma,Seedlings,180,Wild Type,OSD-510
GSM3072307,100.0,gamma,Seedlings,180,Wild Type,OSD-510
GSM3072308,100.0,gamma,Seedlings,360,Wild Type,OSD-510
GSM3072309,100.0,gamma,Seedlings,360,Wild Type,OSD-510
GSM3072310,100.0,gamma,Seedlings,720,Wild Type,OSD-510
GSM3072311,100.0,gamma,Seedlings,720,Wild Type,OSD-510
GSM3072312,100.0,gamma,Seedlings,1440,Wild Type,OSD-510
GSM3072313,100.0,gamma,Seedlings,1440,Wild Type,OSD-510
GSM3072314,0.0,control,Seedlings,,Wild Type,OSD-510
GSM3072315,0.0,control,Seedlings,,Wild Type,OSD-510
GSM3072316,0.0,control,Seedlings,,Wild Type,OSD-510
GSM3072317,0.0,control,Seedlings,,Wild Type,OSD-510
GSM3072318,0.0,control,Seedlings,,Wild Type,OSD-510
GSM3072319,0.0,control,Seedlings,,Wild Type,OSD-510
GSM3072320,0.0,control,Seedlings,,Wild Type,OSD-510
GSM3072321,0.0,control,Seedlings,,Wild Type,OSD-510
GSM3072322,0.0,control,Seedlings,,Wild Type,OSD-510
GSM3072323,0.0,control,Seedlings,,Wild Type,OSD-510
GSM3072324,0.0,control,Seedlings,,Wild Type,OSD-510
GSM3072325,0.0,control,Seedlings,,Wild Type,OSD-510
GSM3072326,100.0,gamma,Seedlings,20,sog1-1,OSD-510
GSM3072327,100.0,gamma,Seedlings,20,sog1-1,OSD-510
GSM3072328,100.0,gamma,Seedlings,90,sog1-1,OSD-510
GSM3072329,100.0,gamma,Seedlings,90,sog1-1,OSD-510
GSM3072330,100.0,gamma,Seedlings,180,sog1-1,OSD-510
GSM3072331,100.0,gamma,Seedlings,180,sog1-1,OSD-510
GSM3072332,100.0,gamma,Seedlings,360,sog1-1,OSD-510
GSM3072333,100.0,gamma,Seedlings,360,sog1-1,OSD-510
GSM3072334,100.0,gamma,Seedlings,720,sog1-1,OSD-510
GSM3072335,100.0,gamma,Seedlings,720,sog1-1,OSD-510
GSM3072336,100.0,gamma,Seedlings,1440,sog1-1,OSD-510
GSM3072337,100.0,gamma,Seedlings,1440,sog1-1,OSD-510
GSM3072338,0.0,control,Seedlings,,sog1-1,OSD-510
GSM3072339,0.0,control,Seedlings,,sog1-1,OSD-510
GSM3072340,0.0,control,Seedlings,,sog1-1,OSD-510
GSM3072341,0.0,control,Seedlings,,sog1-1,OSD-510
GSM3072342,0.0,control,Seedlings,,sog1-1,OSD-510
GSM3072343,0.0,control,Seedlings,,sog1-1,OSD-510
GSM3072344,0.0,control,Seedlings,,sog1-1,OSD-510
GSM3072345,0.0,control,Seedlings,,sog1-1,OSD-510
GSM3072346,0.0,control,Seedlings,,sog1-1,OSD-510
GSM3072347,0.0,control,Seedlings,,sog1-1,OSD-510
GSM3072348,0.0,control,Seedlings,,sog1-1,OSD-510
GSM3072349,0.0,control,Seedlings,,sog1-1,OSD-510
